t_s,lat_error_m,steer_cmd_deg,rmse_m,ilc,lane_detected
1778003905.690,0.0000,0.000,0.0000,1.0000,0
1778003905.783,0.0000,0.000,0.0000,1.0000,0
1778003905.844,0.0000,0.000,0.0000,1.0000,0
1778003905.907,0.0000,0.000,0.0000,1.0000,0
1778003905.969,-0.2060,-2.000,0.0921,1.0000,1
1778003906.033,-0.1860,-0.213,0.1133,1.0000,1
1778003906.111,-0.1860,-0.467,0.1263,1.0000,0
1778003906.190,-0.1860,-0.468,0.1352,1.0000,0
1778003906.267,-0.1860,-0.468,0.1417,1.0000,0
1778003906.332,-0.1860,-0.469,0.1468,1.0000,0
1778003906.425,-0.1860,-0.470,0.1508,1.0000,0
1778003906.517,-0.1860,-0.471,0.1540,1.0000,0
1778003906.578,-0.1860,-0.471,0.1567,1.0000,0
1778003906.642,-0.1380,0.250,0.1554,1.0000,1
1778003906.733,-0.1380,-0.352,0.1543,1.0000,0
1778003906.813,-0.1380,-0.353,0.1534,1.0000,0
1778003906.874,-0.1380,-0.353,0.1525,1.0000,0
1778003906.937,-0.1380,-0.354,0.1517,1.0000,0
1778003906.999,-0.1380,-0.354,0.1510,1.0000,0
1778003907.077,-0.1220,-0.150,0.1497,1.0000,1
1778003907.138,-0.1220,-0.315,0.1485,1.0000,0
1778003907.214,-0.1220,-0.316,0.1474,1.0000,0
1778003907.277,-0.1220,-0.316,0.1464,1.0000,0
1778003907.338,-0.1220,-0.316,0.1455,1.0000,0
1778003907.416,-0.1220,-0.317,0.1446,1.0000,0
1778003907.494,-0.1220,-0.317,0.1438,1.0000,0
1778003907.556,-0.1940,-1.423,0.1460,1.0000,1
1778003907.618,-0.1940,-0.498,0.1480,1.0000,0
1778003907.682,-0.1940,-0.499,0.1498,1.0000,0
1778003907.791,-0.1940,-0.500,0.1515,1.0000,0
1778003907.854,-0.1940,-0.501,0.1530,1.0000,0
1778003907.931,-0.2980,-1.840,0.1596,1.0000,1
1778003907.995,-0.2300,0.160,0.1621,1.0000,1
1778003908.072,-0.1740,0.124,0.1625,1.0000,1
1778003908.133,-0.1740,-0.454,0.1628,1.0000,0
1778003908.197,-0.2580,-1.706,0.1662,1.0000,1
1778003908.258,-0.1860,0.294,0.1668,1.0000,1
1778003908.320,-0.1860,-0.486,0.1673,1.0000,0
1778003908.397,-0.1860,-0.486,0.1678,1.0000,0
1778003908.458,-0.1860,-0.487,0.1683,1.0000,0
1778003908.536,-0.1860,-0.488,0.1688,1.0000,0
1778003908.613,-0.1860,-0.488,0.1692,1.0000,0
1778003908.706,-0.1860,-0.489,0.1696,1.0000,0
1778003908.797,-0.1860,-0.490,0.1700,1.0000,0
1778003908.905,-0.1860,-0.491,0.1704,1.0000,0
1778003908.969,-0.1860,-0.492,0.1707,1.0000,0
1778003909.047,-0.1860,-0.493,0.1711,1.0000,0
1778003909.108,-0.1860,-0.493,0.1714,1.0000,0
1778003909.170,-0.1860,-0.494,0.1717,1.0000,0
1778003909.247,-0.1860,-0.494,0.1720,1.0000,0
1778003909.309,-0.1860,-0.495,0.1723,1.0000,1
1778003909.371,0.0100,1.505,0.1706,1.0000,1
1778003909.448,0.1140,1.334,0.1697,1.0000,1
1778003909.511,0.0900,-0.109,0.1686,1.0000,1
1778003909.572,0.0300,-0.732,0.1671,1.0000,1
1778003909.634,0.0300,0.046,0.1656,1.0000,1
1778003909.699,0.0300,0.046,0.1642,1.0000,0
1778003909.778,0.0300,0.046,0.1629,1.0000,0
1778003909.840,0.0300,0.046,0.1615,1.0000,0
1778003909.948,0.0300,0.046,0.1602,1.0000,0
1778003910.026,0.0300,0.047,0.1589,1.0000,0
1778003910.089,0.0300,0.047,0.1577,1.0000,0
1778003910.151,0.0300,0.047,0.1565,1.0000,0
1778003910.229,0.0300,0.047,0.1553,1.0000,0
1778003910.289,0.0300,0.047,0.1542,1.0000,0
1778003910.352,0.0300,0.047,0.1530,1.0000,0
1778003910.414,0.0300,0.047,0.1519,1.0000,0
1778003910.476,0.0300,0.047,0.1509,1.0000,0
1778003910.538,0.0300,0.047,0.1498,1.0000,0
1778003910.601,0.0300,0.047,0.1488,1.0000,0
1778003910.663,0.0300,0.048,0.1478,1.0000,0
1778003910.724,0.0300,0.048,0.1468,1.0000,0
1778003910.801,0.0300,0.048,0.1458,1.0000,0
1778003910.882,0.0300,0.048,0.1449,1.0000,0
1778003910.986,0.0300,0.048,0.1439,1.0000,0
1778003911.053,0.0300,0.048,0.1430,1.0000,0
1778003911.116,0.0300,0.048,0.1421,1.0000,0
1778003911.195,0.0300,0.048,0.1413,1.0000,0
1778003911.258,0.0300,0.048,0.1404,1.0000,0
1778003911.319,0.0300,0.048,0.1396,1.0000,0
1778003911.394,0.0300,0.049,0.1387,1.0000,0
1778003911.473,0.0300,0.049,0.1379,1.0000,0
1778003911.536,0.0300,0.049,0.1371,1.0000,0
1778003911.616,0.0300,0.049,0.1364,1.0000,0
1778003911.693,0.0300,0.049,0.1356,1.0000,0
1778003911.769,0.0300,0.049,0.1348,1.0000,0
1778003911.864,0.0300,0.049,0.1341,1.0000,0
1778003911.941,0.0300,0.049,0.1334,1.0000,0
1778003912.033,0.0300,0.050,0.1327,1.0000,0
1778003912.124,0.0300,0.050,0.1320,1.0000,0
1778003912.189,0.0300,0.050,0.1313,1.0000,0
1778003912.253,0.0300,0.050,0.1306,1.0000,0
1778003912.329,0.0300,0.050,0.1299,1.0000,0
1778003912.408,0.0300,0.050,0.1293,1.0000,0
1778003912.484,0.0300,0.050,0.1286,1.0000,0
1778003912.545,0.0300,0.050,0.1280,1.0000,0
1778003912.608,0.0300,0.050,0.1274,1.0000,0
1778003912.669,0.0300,0.051,0.1267,1.0000,0
1778003912.732,0.0300,0.051,0.1261,1.0000,0
1778003912.793,0.0300,0.051,0.1255,1.0000,0
1778003912.856,0.0300,0.051,0.1256,1.0000,0
1778003912.918,0.0300,0.051,0.1256,1.0000,0
1778003912.979,0.0300,0.051,0.1257,1.0000,0
1778003913.042,0.0300,0.051,0.1257,1.0000,0
1778003913.132,0.0300,0.051,0.1240,1.0000,0
1778003913.197,0.0300,0.051,0.1227,1.0000,0
1778003913.258,0.0300,0.051,0.1213,1.0000,0
1778003913.318,0.0300,0.051,0.1199,1.0000,0
1778003913.381,0.0300,0.052,0.1185,1.0000,0
1778003913.444,0.0300,0.052,0.1170,1.0000,0
1778003913.504,0.0300,0.052,0.1156,1.0000,0
1778003913.567,0.0300,0.052,0.1141,1.0000,0
1778003913.630,0.0300,0.052,0.1126,1.0000,0
1778003913.707,0.0300,0.052,0.1118,1.0000,0
1778003913.783,0.0300,0.052,0.1110,1.0000,0
1778003913.844,0.0300,0.052,0.1102,1.0000,0
1778003913.907,0.0300,0.052,0.1094,1.0000,0
1778003913.969,0.0300,0.052,0.1085,1.0000,0
1778003914.031,0.0300,0.053,0.1077,1.0000,0
1778003914.121,0.0300,0.053,0.1070,1.0000,0
1778003914.187,0.0300,0.053,0.1064,1.0000,0
1778003914.250,0.0300,0.053,0.1057,1.0000,0
1778003914.313,0.0300,0.053,0.1051,1.0000,0
1778003914.375,0.0440,0.270,0.1044,1.0000,1
1778003914.438,0.0440,0.088,0.1038,1.0000,0
1778003914.499,0.0440,0.088,0.1032,1.0000,0
1778003914.561,0.0440,0.089,0.1015,1.0000,0
1778003914.623,0.0440,0.089,0.0997,1.0000,0
1778003914.684,0.0440,0.089,0.0979,1.0000,0
1778003914.746,0.0440,0.089,0.0960,1.0000,0
1778003914.807,0.0440,0.089,0.0942,1.0000,0
1778003914.869,0.0440,0.089,0.0894,1.0000,0
1778003914.932,0.0440,0.089,0.0865,1.0000,0
1778003914.995,0.0440,0.089,0.0849,1.0000,0
1778003915.084,0.0440,0.090,0.0832,1.0000,0
1778003915.150,0.0440,0.090,0.0792,1.0000,0
1778003915.213,0.0440,0.090,0.0771,1.0000,0
1778003915.274,0.0440,0.090,0.0750,1.0000,0
1778003915.338,0.0440,0.090,0.0728,1.0000,1
1778003915.399,0.0440,0.090,0.0705,1.0000,0
1778003915.464,0.0440,0.091,0.0681,1.0000,1
1778003915.527,0.0440,0.091,0.0657,1.0000,0
1778003915.589,-0.0440,-1.262,0.0631,1.0000,1
1778003915.652,-0.0440,-0.130,0.0605,1.0000,0
1778003915.714,-0.0440,-0.130,0.0577,1.0000,0
1778003915.778,-0.0540,-0.281,0.0549,1.0000,1
1778003915.841,0.0020,0.698,0.0517,1.0000,1
1778003915.902,0.0020,-0.015,0.0482,1.0000,0
1778003915.964,0.0020,-0.015,0.0445,1.0000,0
1778003916.054,0.0020,-0.015,0.0404,1.0000,0
1778003916.118,-0.0620,-0.985,0.0364,1.0000,1
1778003916.179,-0.0620,-0.175,0.0369,1.0000,0
1778003916.242,-0.0620,-0.175,0.0357,1.0000,0
1778003916.305,0.0180,1.047,0.0346,1.0000,1
1778003916.367,0.0580,0.641,0.0349,1.0000,1
1778003916.431,0.0580,0.125,0.0353,1.0000,0
1778003916.493,0.0400,-0.150,0.0354,1.0000,1
1778003916.556,0.0960,0.937,0.0365,1.0000,1
1778003916.617,0.0960,0.221,0.0376,1.0000,0
1778003916.680,0.0960,0.221,0.0387,1.0000,0
1778003916.741,0.0660,-0.246,0.0392,1.0000,1
1778003916.803,0.0540,-0.039,0.0394,1.0000,1
1778003916.865,0.0540,0.116,0.0397,1.0000,0
1778003916.927,0.0540,0.117,0.0399,1.0000,0
1778003917.018,0.0980,0.614,0.0410,1.0000,1
1778003917.099,0.0060,-0.909,0.0409,1.0000,1
1778003917.193,-0.1820,-2.068,0.0447,1.0000,1
1778003917.287,-0.1820,-0.475,0.0482,1.0000,0
1778003917.394,-0.1820,-0.476,0.0514,1.0000,0
1778003917.487,-0.1820,-0.476,0.0544,1.0000,0
1778003917.594,-0.1820,-0.477,0.0573,1.0000,0
1778003917.688,-0.1820,-0.478,0.0601,1.0000,0
1778003917.797,-0.1820,-0.479,0.0627,1.0000,0
1778003917.906,-0.1820,-0.480,0.0652,1.0000,0
1778003918.015,-0.1820,-0.481,0.0676,1.0000,0
1778003918.123,-0.1820,-0.482,0.0700,1.0000,0
1778003918.214,-0.1820,-0.483,0.0722,1.0000,0
1778003918.324,-0.1820,-0.484,0.0744,1.0000,0
1778003918.434,-0.1820,-0.485,0.0766,1.0000,0
1778003918.554,-0.1820,-0.486,0.0786,1.0000,0
1778003918.663,-0.1820,-0.487,0.0807,1.0000,0
1778003918.772,-0.1820,-0.488,0.0826,1.0000,0
1778003918.866,-0.1820,-0.489,0.0846,1.0000,0
1778003918.975,-0.1820,-0.490,0.0865,1.0000,0
1778003919.082,-0.1820,-0.491,0.0883,1.0000,0
