t_s,lat_error_m,steer_cmd_deg,rmse_m,ilc,lane_detected
1778611222.134,0.0000,0.000,0.0000,1.0000,0
1778611222.452,0.0000,0.000,0.0000,1.0000,0
1778611222.565,0.0000,0.000,0.0000,1.0000,0
1778611222.670,0.0000,0.000,0.0000,1.0000,0
1778611222.775,0.0000,-0.000,0.0000,1.0000,0
1778611222.902,0.0000,-0.000,0.0000,1.0000,0
1778611223.022,0.0000,-0.000,0.0000,1.0000,0
1778611223.133,0.0000,-0.000,0.0000,1.0000,0
1778611223.252,0.0000,-0.000,0.0000,1.0000,0
1778611223.347,0.0000,-0.000,0.0000,1.0000,0
1778611223.453,0.0000,-0.000,0.0000,1.0000,0
1778611223.564,0.0000,-0.000,0.0000,1.0000,0
1778611223.670,0.0000,-0.000,0.0000,1.0000,0
1778611223.776,0.0000,-0.000,0.0000,1.0000,0
1778611223.885,0.0000,-0.000,0.0000,1.0000,0
1778611223.992,0.0000,-0.000,0.0000,1.0000,0
1778611224.100,0.0000,-0.000,0.0000,1.0000,0
1778611224.209,0.0000,-0.000,0.0000,1.0000,0
1778611224.315,0.0000,-0.000,0.0000,1.0000,0
1778611224.425,0.0000,-0.000,0.0000,1.0000,0
1778611224.531,0.0000,-0.000,0.0000,1.0000,0
1778611224.640,0.0000,-0.000,0.0000,1.0000,0
1778611224.749,0.0000,-0.000,0.0000,1.0000,0
1778611224.855,0.0000,-0.000,0.0000,1.0000,0
1778611224.966,0.0000,-0.000,0.0000,1.0000,0
1778611225.074,0.0000,-0.000,0.0000,1.0000,0
1778611225.181,0.0000,-0.000,0.0000,1.0000,0
1778611225.289,0.0000,-0.000,0.0000,1.0000,0
1778611225.396,0.0000,-0.000,0.0000,1.0000,0
1778611225.506,0.0000,-0.000,0.0000,1.0000,0
1778611225.627,0.0000,-0.000,0.0000,1.0000,0
1778611225.736,0.0000,-0.000,0.0000,1.0000,0
1778611225.845,0.0000,-0.000,0.0000,1.0000,0
1778611225.951,0.0000,-0.000,0.0000,1.0000,0
1778611226.057,0.0000,-0.000,0.0000,1.0000,0
1778611226.167,0.0000,-0.000,0.0000,1.0000,0
1778611226.273,0.0000,-0.000,0.0000,1.0000,0
1778611226.381,0.0000,-0.000,0.0000,1.0000,0
1778611226.490,0.0000,-0.000,0.0000,1.0000,0
1778611226.599,0.0000,-0.000,0.0000,1.0000,0
1778611226.692,0.0000,-0.000,0.0000,1.0000,0
1778611226.802,0.0000,-0.000,0.0000,1.0000,0
1778611226.925,0.0000,-0.000,0.0000,1.0000,0
1778611227.031,0.0000,-0.000,0.0000,1.0000,0
1778611227.141,0.0000,-0.000,0.0000,1.0000,0
1778611227.252,0.0000,-0.000,0.0000,1.0000,0
1778611227.356,0.0000,-0.000,0.0000,1.0000,0
1778611227.467,0.0000,-0.000,0.0000,1.0000,0
1778611227.573,0.0000,-0.000,0.0000,1.0000,0
1778611227.681,0.0000,-0.000,0.0000,1.0000,0
1778611227.787,0.0000,-0.000,0.0000,1.0000,0
1778611227.898,0.0000,-0.000,0.0000,1.0000,0
1778611228.004,0.0000,-0.000,0.0000,1.0000,0
1778611228.097,0.0000,-0.000,0.0000,1.0000,0
1778611228.190,0.0000,-0.000,0.0000,1.0000,0
1778611228.298,0.0000,-0.000,0.0000,1.0000,0
1778611228.405,0.0000,-0.000,0.0000,1.0000,0
1778611228.514,0.0000,-0.000,0.0000,1.0000,0
1778611228.621,0.0000,-0.000,0.0000,1.0000,0
1778611228.728,0.0000,-0.000,0.0000,1.0000,0
1778611228.838,0.0000,-0.000,0.0000,1.0000,0
1778611228.945,0.0000,-0.000,0.0000,1.0000,0
1778611229.052,0.0000,-0.000,0.0000,1.0000,0
1778611229.159,0.0000,-0.000,0.0000,1.0000,0
1778611229.267,0.0000,-0.000,0.0000,1.0000,0
1778611229.377,0.0000,-0.000,0.0000,1.0000,0
1778611229.484,0.0000,-0.000,0.0000,1.0000,0
1778611229.592,0.0000,-0.000,0.0000,1.0000,0
1778611229.701,0.0000,-0.000,0.0000,1.0000,0
1778611229.809,0.0000,-0.000,0.0000,1.0000,0
1778611229.917,0.0000,-0.000,0.0000,1.0000,0
1778611230.025,0.0000,-0.000,0.0000,1.0000,0
1778611230.133,0.0000,-0.000,0.0000,1.0000,0
1778611230.241,0.0000,-0.000,0.0000,1.0000,0
1778611230.351,0.0000,-0.000,0.0000,1.0000,0
1778611230.472,0.0000,-0.000,0.0000,1.0000,0
1778611230.580,0.0000,-0.000,0.0000,1.0000,0
1778611230.686,0.0000,-0.000,0.0000,1.0000,0
1778611230.794,0.0000,-0.000,0.0000,1.0000,0
1778611230.904,0.0000,-0.000,0.0000,1.0000,0
1778611231.009,0.0000,-0.000,0.0000,1.0000,0
1778611231.120,0.0000,-0.000,0.0000,1.0000,0
1778611231.228,0.0000,-0.000,0.0000,1.0000,0
1778611231.335,0.0000,-0.000,0.0000,1.0000,0
1778611231.459,0.0000,-0.000,0.0000,1.0000,0
1778611231.581,0.0000,-0.000,0.0000,1.0000,0
1778611231.689,0.0000,-0.000,0.0000,1.0000,0
1778611231.800,0.0000,-0.000,0.0000,1.0000,0
1778611231.906,0.0000,-0.000,0.0000,1.0000,0
1778611232.013,0.0000,-0.000,0.0000,1.0000,0
1778611232.122,0.0000,-0.000,0.0000,1.0000,0
1778611232.233,0.0000,-0.000,0.0000,1.0000,0
1778611232.324,0.0000,-0.000,0.0000,1.0000,0
1778611232.434,0.0000,-0.000,0.0000,1.0000,0
1778611232.540,0.0000,-0.000,0.0000,1.0000,0
1778611232.649,0.0000,-0.000,0.0000,1.0000,0
1778611232.758,0.0000,-0.000,0.0000,1.0000,0
1778611232.869,0.0000,-0.000,0.0000,1.0000,0
1778611232.975,0.0000,-0.000,0.0000,1.0000,0
1778611233.099,0.0000,-0.000,0.0000,1.0000,0
1778611233.221,0.0000,-0.000,0.0000,1.0000,0
1778611233.331,0.0000,-0.000,0.0000,1.0000,0
1778611233.438,0.0000,-0.000,0.0000,1.0000,0
1778611233.549,0.0000,-0.000,0.0000,1.0000,0
1778611233.654,0.0000,-0.000,0.0000,1.0000,0
1778611233.762,0.0000,-0.000,0.0000,1.0000,0
1778611233.870,0.0000,-0.000,0.0000,1.0000,0
1778611233.977,0.0000,-0.000,0.0000,1.0000,0
1778611234.085,0.0000,-0.000,0.0000,1.0000,0
1778611234.197,0.0000,-0.000,0.0000,1.0000,0
1778611234.303,0.0000,-0.000,0.0000,1.0000,0
1778611234.430,0.0000,-0.000,0.0000,1.0000,0
1778611234.554,0.0000,-0.000,0.0000,1.0000,0
1778611234.679,0.0000,-0.000,0.0000,1.0000,0
1778611234.801,0.0000,-0.000,0.0000,1.0000,0
1778611234.908,0.0000,-0.000,0.0000,1.0000,0
1778611235.017,0.0000,-0.000,0.0000,1.0000,0
1778611235.126,0.0000,-0.000,0.0000,1.0000,0
1778611235.233,0.0000,-0.000,0.0000,1.0000,0
1778611235.340,0.0000,-0.000,0.0000,1.0000,0
1778611235.449,0.0000,-0.000,0.0000,1.0000,0
1778611235.556,0.0000,-0.000,0.0000,1.0000,0
1778611235.663,0.0000,-0.000,0.0000,1.0000,0
1778611235.789,0.0000,-0.000,0.0000,1.0000,0
1778611235.914,0.0000,-0.000,0.0000,1.0000,0
1778611236.038,0.0000,-0.000,0.0000,1.0000,0
1778611236.158,0.0000,-0.000,0.0000,1.0000,0
1778611236.267,0.0000,-0.000,0.0000,1.0000,0
1778611236.378,0.0000,-0.000,0.0000,1.0000,0
1778611236.484,0.0000,-0.000,0.0000,1.0000,0
1778611236.594,0.0000,-0.000,0.0000,1.0000,0
1778611236.702,0.0000,-0.000,0.0000,1.0000,0
1778611236.805,0.0000,-0.000,0.0000,1.0000,0
1778611236.915,0.0000,-0.000,0.0000,1.0000,0
1778611237.025,0.0000,-0.000,0.0000,1.0000,0
1778611237.132,0.0000,-0.000,0.0000,1.0000,0
1778611237.240,0.0000,-0.000,0.0000,1.0000,0
1778611237.333,0.0000,-0.000,0.0000,1.0000,0
1778611237.426,0.0000,-0.000,0.0000,1.0000,0
1778611237.519,0.0000,-0.000,0.0000,1.0000,0
1778611237.628,0.0000,-0.000,0.0000,1.0000,0
1778611237.721,0.0000,-0.000,0.0000,1.0000,0
1778611237.831,0.0000,-0.000,0.0000,1.0000,0
1778611237.941,0.0000,-0.000,0.0000,1.0000,0
1778611238.048,0.0000,-0.000,0.0000,1.0000,0
1778611238.157,0.0000,-0.000,0.0000,1.0000,0
1778611238.265,0.0000,-0.000,0.0000,1.0000,0
1778611238.374,0.0000,-0.000,0.0000,1.0000,0
1778611238.480,0.0000,-0.000,0.0000,1.0000,0
1778611238.591,0.0000,-0.000,0.0000,1.0000,0
1778611238.701,0.0000,-0.000,0.0000,1.0000,0
1778611238.808,0.0000,-0.000,0.0000,1.0000,0
1778611238.901,0.0000,-0.000,0.0000,1.0000,0
1778611239.009,0.0000,-0.000,0.0000,1.0000,0
1778611239.118,0.0000,-0.000,0.0000,1.0000,0
1778611239.229,0.0000,-0.000,0.0000,1.0000,0
1778611239.335,0.0000,-0.000,0.0000,1.0000,0
1778611239.454,0.0000,-0.000,0.0000,1.0000,0
1778611239.562,0.0000,-0.000,0.0000,1.0000,0
1778611239.671,0.0000,-0.000,0.0000,1.0000,0
1778611239.782,0.0000,-0.000,0.0000,1.0000,0
1778611239.890,0.0000,-0.000,0.0000,1.0000,0
1778611239.996,0.0000,-0.000,0.0000,1.0000,0
1778611240.104,0.0000,-0.000,0.0000,1.0000,0
1778611240.214,0.0000,-0.000,0.0000,1.0000,0
1778611240.321,0.0000,-0.000,0.0000,1.0000,0
1778611240.428,0.0000,-0.000,0.0000,1.0000,0
1778611240.538,0.0000,-0.000,0.0000,1.0000,0
1778611240.647,0.0000,-0.000,0.0000,1.0000,0
1778611240.755,0.0000,-0.000,0.0000,1.0000,0
1778611240.848,0.0000,-0.000,0.0000,1.0000,0
1778611240.956,0.0000,-0.000,0.0000,1.0000,0
1778611241.070,0.0000,-0.000,0.0000,1.0000,0
1778611241.191,0.0000,-0.000,0.0000,1.0000,0
